title,genres,description
PGA TOUR 2K23,"RPG, Simulation, Sports","PGA TOUR 2K23 Tiger Woods Edition This product will no longer be available for purchase as of 3/13/2026. NOTE: All multiplayer servers for PGA TOUR 2K23 will be shutdown as of 3/12/2027. After that time, all game functions requiring online servers will no longer function. The Tiger Woods Edition includes: Michael Jordan Bonus Pack: Playable Michael Jordan, and 4 Common tier golf ball sleeves Deluxe Edition Bonus Pack: 1300 VC, hockey stick putter, gold baseball cap, gold golf glove, and 3 Rare tier golf ball sleeves Golden Club Pack: Golden driver, golden putter, and 4 Uncommon tier golf ball sleeves Tiger Woods Edition Bonus Pack: Tiger Woods TaylorMade wedge set, TW t-shirt, 3 Epic tier golf ball sleeves Tiger Woods Signature Sunday Pack: Red polo, black pants, black hat, TW golf shoes, TW golf belt, and Tiger Bridgestone branded golf balls *Red Nike Polo, Black Nike Pants, TW Golf Belt cosmetic items from the Tiger Woods Signature Sunday Pack are not available for use with female MyPLAYERs. PGA TOUR 2K23 Deluxe Edition This product will no longer be available for purchase as of 3/13/2026. NOTE: All multiplayer servers for PGA TOUR 2K23 will be shutdown as of 3/12/2027. After that time, all game functions requiring online servers will no longer function. The Deluxe Edition includes the Standard Edition plus: Michael Jordan Bonus Pack: Playable Michael Jordan, and 4 Common tier golf ball sleeves Deluxe Edition Bonus Pack: 1300 VC, hockey stick putter, gold baseball cap, gold golf glove, and 3 Rare tier golf ball sleeves Golden Club Pack: Golden driver, golden putter, and 4 Uncommon tier golf ball sleeves About the Game This product will no longer be available for purchase as of 3/13/2026. NOTE: All multiplayer servers for PGA TOUR 2K23 will be shutdown as of 3/12/2027. After that time, all game functions requiring online servers will no longer function. Hit the links with more swagger in PGA TOUR 2K23. AUTHENTIC PGA TOUR MyCAREER Take your skills, and your swag, on the PGA TOUR and become the next FedExCup Champion. Compete against other TOUR pros with your MyPLAYER and establish new rivalries. PGA TOUR PROS AND LICENSED COURSES For the first time, play as male and female pros including Tiger Woods, in online and local play! PGA TOUR 2K23 features multiple licensed courses, including East Lake Golf Club, St. George’s Golf and Country Club, TPC Scottsdale, and TPC Sawgrass to name a few. CREATE YOUR OWN DREAM COURSES Build your own fantasy fairway with the industry-leading Course Designer, featuring thousands of customizable objects. With cross-platform support, you can even share your creation with the world for online and local play. TOPGOLF HAS ARRIVED Drop into Topgolf from wherever you are solo or with your crew, in competitive 1-4 player local and online play, bringing the fun and excitement to both casual and seasoned players. LEVEL UP YOUR MyPLAYER New Skills and Archetypes level up your MyPLAYER while new licensed gear and apparel from top brands like adidas, Callaway, Titleist, Malbon, and more, bring the swag to the green. MORE CONTROL OPTIONS AND ACCESSIBILITY Choose between the new 3-Click swing system and the traditional analog Swing Stick. Accessible features include real-time tutorials, tips, shot suggestions, the TrueShot System, and Lie Management. YOUR SOCIETY, YOUR RULES Rule your rough and control your Clubhouse with Online Societies. Make the game your own by managing tournaments and full seasons. Set up entry rules, requirements, handicaps, and event options. ONLINE AND LOCAL MULTIPLAYER Hit the links with your crew in local and online matches, including Alt-Shot, Stroke Play, Skins, and 4-Player Scramble. Plus, the frenzied multiplayer mode Divot Derby is back, bringing the virtual golf party to this single-elimination, shoot-out style competition."
Automobilista 2,"Action, Indie, Racing, Simulation, Sports","Automobilista 2 is a celebration of motorsports - a comprehensive simulator powered by genre-leading technology placing you right at the center of the thrills the sport has provided over the decades, with an uniquely immersive experience and unmatched variety of cars, tracks and features you won´t find in any other racing game; it is an advanced simulator that never forgets to remain fun and accessible. Within a few clicks, you can jump from a rental kart for modern day race in downtown Sao Paulo to a historic Grand Prix car for a blast around Monzas famous banking as if it were the 1960s; Run one of the championship seasons offered within the game, or create your own custom season setting up classes, tracks, points system, weather to your preference;; Travel through the history of motorsports driving legendary machines such as the Lotus 72E, the mighty Group C Porsche 962c or the Mclaren F1 GTR on the tracks they actually belonged; enjoy the unique driving experiences of exotic race cars equipped with ingenious devices that made motorsports folklore never before modeled in a racing simulator, such as the Brabham BT46B fan car or the Mclaren MP4-12 with its ingenuous brake steer system; explore the freedom that Automobilista 2 provides to create great events that never were, or even really crazy ones that never could be. There is more still to come in the years ahead - new cars & tracks, more historical content, different racing modes, enhanced gameplay features, better racing for both single and multiplayer; AMS2 continues to be an ever-evolving, ever-expanding project that will continue to get bigger and better. RACE ANYTHING, ANYWHERE, ANYHOW From rental Karts to high-performance Prototypes, Classic Grand Prix cars to modern GTs and Racing Trucks, Automobilista 2 offers it all through a catalogue of beautifully-detailed venues across five continents. ACCESSIBLE VISUAL REALISM Automobilista 2 combines world-class graphics with optimized performance to offer glorious visuals even on less powerful systems, and one of the best VR experiences of any racing game FULLY DYNAMIC RACING Featuring the most advanced dynamic weather and track condition systems, 24-hour cycles, barometric pressure modelling, varying wind speeds and temperatures — all to produce ever-changing conditions session to session. AMS2 gives you full control for races to progress just as you want it, ensuring no two laps are the same REAL WEATHER - Real Weather links AMS2´s ultra-advanced weather system with a global meteorological data system to provide real time weather for all locations present in the game - that means that if you select the current date and hour for a race at Silverstone and it´s currently raining there, you´ll get the same weather in AMS2; if it has just stopped raining a couple of hours earlier, the track will still be wet in real life, and it will likewise still be wet in AMS2 as well. Real Weather does not just mimic current weather conditions though - it packs data for every single day over the last 40 years for every track in the game, allowing users to reproduce historical races in changeable weather very closely to how they actually happened. MOTORSPORTS RULES & REGULATIONS - Automobilista 2 also features one of the most complete sets of rules & regulations of any racing sim, allowing users to emulate rules of most major series in the world. In V1.4 we expand that reach with the introduction of oval racing and the support for Full Course Yellow. AM2 also allows users to customize multiclass races with the exact number of opponents from each class they may desire. RACING LEGENDS A growing library of famous historical racing cars and race tracks as they were through various decades offer players the opportunity to relive classic eras of motorsports history EVER EVOLVING, EVER EXPANDING Boasting a commitment to a long-term development cycle, Automobilista 2 receives regular monthly game updates bringing in a constant flow of new features and improvements to the game along with new cars and tracks"
Freestyle 2: Street Basketball,"Action, Casual, Massively Multiplayer, Sports, Free To Play","Freestyle 2 is the Ultimate Online Street Basketball Game! Experience a superior gameplay of basketball and perform freestyle street basketball moves! Enjoy the excitement of vibrant street basketball with its unique cel-shaded graphics and game experience. One Player, One Character Pick a character based on their position move up in the league. Choose the progression depending on your favorite play style. Test your teamwork with other basketball players online and show’em what you got! Key Features Positions: Center, Power Forward, Small Forward, Shooting Guard, Point Guard, Control Tower, Dual Guard, Swing Man. Skills: Create your own play style with over 30 moves including shooting and passing skills! Tournament & Crew: Team up with your crewmates and win in a tournament for a chance at great items and prizes! Customization: Customize your character’s look. Choose from a wide range of outfits, hairstyles, shoes, accessories to make your own fashion statement! Tutorial & Training: Exclusive tutorials on how to execute each and every skill in the game."
Kabounce,"Action, Indie, Sports","Kabounce™ - multiplayer pinball sport, you are the ball! Take complete control of the ball and reach ridiculous speeds with intuitive momentum and rhythm based movement in this re-imagining of pinball. Rack up sweet combos and points by hitting bumper pins and perform spinning skill moves in short, 5 minute, matches. Eliminate opposing players to steal their hard-earned points and score to win! Up to 8 players online, 4 vs 4. SINGLEPLAYER Take the action offline with over 50 time-attack parkour challenges (and be sure to snag up the hidden skins and rewards). Keep up the pace, cut corners, use walls and bumpers - earn a bronze, silver, gold or developer star! Top the leaderboards for the coveted blue star. ROLL IN STYLE Millions of ridiculous, over the top cosmetic combinations - we proudly offer you the most elaborate pinball garage in the world! Select a pinball, paint it, match some stylish eyewear and accessories - top it off with hats, horns or hair*. *Afro included. SCORE You too can ride this rollercoaster track, it's not just for show, here you bank your dough - oOOoh hey, we did a rhyme. FEATURES: [insert really long list of features here to make your game look more impressive] Online Multiplayer: Up to 8-player online, 4 versus 4. Split Screen: Play up to 4-player split screen locally - or join an online match. Time Attack: Test your skill and race against ghosts or friends in parkour-like platforming challenges - or improve your global rank on the leaderboards. Roll in style: Millions of possible combinations to personalize your pinball! Cross-platform: Cross play support between PlayStation®4 and Steam players. Ranked: The same thing as Casual Quick Play really, sure - you get an icon plus rating for boasting, but why? Bots: Each with their own personality and playing style, watch out for M.A.X. he is very [explicit]. If S.A.M. is on your team, we're sorry for your loss. Matchmaking: You may not love the person we set you up with, but we'll match you anyway. Abilities: select between powerful abilities to capture bumpers and eliminate players. Original Sound Track: A dozen Original Electronic Sound Tracks and multiple in-match dynamic sound tracks that change based on how you play (if it doesn't, that means you're doing it wrong :))."
Rollerdrome,"Action, Indie, Sports","Rollerdrome is a BAFTA award-winning third person action shooter that seamlessly blends high octane combat with fluid motion to create an action experience like no other. Dominate with style in cinematic, visceral combat where kills net you health and pulling off tricks and grinds provide you ammunition, in this adrenaline-pumping action shooter. The year is 2030. In a world where corporations rule and the lines between reality and performance are blurred, the public are kept distracted by the violence and excess of a brutal new blood sport — Rollerdrome. Will you have what it takes to become the Rollerdrome champion and unravel the mysteries behind the Matterhorn corporation’s true intentions? From Roll7, the minds that brought you the award winning and critically acclaimed OlliOlli series comes Rollerdrome, an intense shooter-skater hybrid set in an evocative retrofuture. Key Features: A third person action shooter like no other – an original hybrid shooter-skater that blends high octane, visceral combat with fluid movement and tricking mechanics into one complementary and challenging whole. A test of skill – Take on a unique challenge throughout the Rollerdrome tournament. Establish your dominance in the field with online leaderboards and push yourself to the limit with the unlockable ""Out For Blood"" mode for the most extreme test of skill and agility. An original identity – An all-new fully original soundtrack that merges iconic era sounds and tones with cutting edge production to provide a heart-thumping backdrop to the carnage, brought to life with a unique comic-book inspired art style. A dark conspiracy – Discover a mysterious, sinister plot in this distinct retrofuture universe."
Captain Tsubasa: Rise of New Champions,"Action, Casual, RPG, Sports","Ultimate Edition The Ultimate Edition includes: • Base Game • Character Pass • Character Mission Pass • New Champions Uniform Set • V Jump Accessories • Shutetsu Uniform • Tsubasa's Challenge Ball + Meiwa FC • All-Japan Junior Youth Uniform • Open Sky Uniform Set • Hawk Uniform Set • 2 goal performances Digital Deluxe Edition The Deluxe Edition includes the Captain Tsubasa: Rise of New Champions full game, Character Pass, and V Jump accessories as a bonus. Defy The Laws of Football Become Legend Comparison Chart About the Game Captain Tsubasa: Rise of New Champions is an arcade football game bringing a refreshing look to the football genre with the exhilarating action and over the top shots. ⚽ BUILD YOUR DREAM ELEVEN Create your own characters with new skills and abilities, and build your dream team to play offline and online! ⚽ 4 PLAYER VERSUS Decide who's the football legend amongst your friends with offline versus up to 4 players! ⚽ ONLINE Compete across several online modes to claim trophies and rewards. ⚽ 2 STORY MODES Experience the events from the anime or become a part of the world of Captain Tsubasa!"
Trophy Fishing 2,"Simulation, Sports, Free To Play","★ Beautiful and realistic 3D environment ★ Diversity of game maps and locations ★ More than 1650 species of fish, carefully selected in accordance with their real habitats ★ About 100 different kinds of bait ★ 3 types of fishing rods (float, spinning, bottom) ★ Wide choice of different rods with original leveling ★ Ability to fish by 3 rods at the same time ★ Tournaments, competitions and quests ★ Over 260 different achievements ★ Shop, in-game market, crafting unique baits ★ Chatting in a chat room"
F1 2012™,"Racing, Simulation, Sports","Codemasters Racing presents F1 2012 , the next game in the BAFTA-winning series featuring all the official drivers, teams and circuits from the 2012 FIA FORMULA ONE WORLD CHAMPIONSHIP™. Learn the basics and master the challenge of driving the best machines on the planet in the Young Driver Test. Experience the next generation in weather system technology where storm fronts move across the circuits, soaking specific areas of the track, as well as racing around the all-new Circuit of The Americas in Austin, Texas, home of the 2012 FORMULA 1 UNITED STATES GRAND PRIX. Two new quick fire game options: Season Challenge, a complete Career in just 10 races, and Champions Mode Scenarios, where you test your skills against the very best, complete an exciting line up of gaming options which also includes a 5 year Career, Co-op Championship, 16 Player Multiplayer & Time Attack Scenarios. F1 2012 Feel it!"
Headsnatchers,"Action, Casual, Indie, Sports","Hold onto your head with Headsnatchers, a stupidly hectic up-to-4-player local and online multiplayer party-game where you snatch your friends’ heads to come out victorious. Because, let’s face it, you’ll do anything to win. LOCAL AND ONLINE MULTIPLAYER, BUT SUPER WEIRD Challenge your friends to insane brawls, where the goal is to pluck heads from shoulders and use them to get that much-desired victory! Headsnatchers has 25 ridiculous maps with unique, yet unlikely, weapons and features, with their own steps and rules to follow. Well, they’re more like guidelines. Nobody likes rules. Dunk your buddies’ heads through hoops like LeBron, kick your grandpa’s gobbler through a portal to hell like Doomguy™ and flush your sister’s brain-basket down the toilet like the dooky you pushed out five hours after you shoved that XL pizza down your face. You name it, Headsnatchers has got it. Probably. OFF WITH THEIR (100+) HEADS Because apparently kids nowadays are all about self-expression and unique identifiers, we felt we couldn’t stay behind the times. With over 100 unique heads to choose from, there’s a head for everyone. Did we mention there are pop culture references? There’s a head that resembles that one angry guy from that anime you used to love, and one from a children's show with a certain mathematically challenged Count. If you don’t like any of those, make your own heads using the Headitor! You can save up to 20 heads, so go nuts trying to recreate those school dweebs who used to pick you last for gym. A SINGLE-PLAYER MODE MADE JUST FOR YOU Sometimes you just need a little me-time - we totally get it. Rip it up in the single-player Zombie Castle-mode! This single-player feature spans across three different difficulty levels. “But, my dudes, every game has multiple difficulties nowadays”, we hear you thinking. Zombie Castle is different throughout its easy, normal and hard modes. Different levels, different everything, same zombies. We’re calling it right now: you can’t beat them all. Probably. OBLIGATORY KEY FEATURE BULLET POINTS We’re sorry, but we just have to go over all of the features one last time. Okay, ready? Local and online* multiplayer, support up to 4 players 4 game modes and 25 unique levels Zombie Castle single-player mode, for when you really need some me-time Choose from 100 heads A limitless custom head creator* (yes, we’re calling it the Headitor, and there’s nothing you can do about it) that allows you to save up to 20 custom heads*"
Blood Bowl: Chaos Edition (Classic),"Sports, Strategy","Inspired by the Warhammer Fantasy world, Blood Bowl is an ultra-violent combination of strategy and sports games. The Chaos Edition features 23 playable races, including 3 that are totally new, each offering its own game style! Make a competitive team, train it and buy the best equipment. Brutal victory after victory, improve your players' skills to make them into true Blood Bowl players! This is a no holds barred bonecrunching sport! Even if tactics are your favored route, you can also choose from a large selection of incredible and vicious moves: bribe the ref, devastating spells or illegal weapons… In the Chaos Edition, three new races are making their triumphant arrival on the field: the malevolent Chaos Dwarfs, the outcasts of the Underworld teams and, for the very first time in Blood Bowl, the Daemons of Khorne! The new Lizardmen Stadium is more than ready to welcome all new teams, along with a new challenging mode, World Cup: participate in a prestigious competition, and lead your team from the qualifications to the bloody final tournament! Blood Bowl can be played online. Create your team, improve it and lead it to the top of the official rankings! Develop your own private internet league to organize your own tournaments! Warhammer Classics Warhammer Classics is a collection of the greatest titles from the annals of Warhammer video game history, spanning the last 30 years, brought back to life as a series to celebrate their iconic legacy. Because of their classic nature, some of the content may not accurately reflect current depictions, lore, or presentation within the current Warhammer universes and settings."
Creed: Rise to Glory™,"Action, Indie, Simulation, Sports","Train. Fight. Win. Got what it takes to become a champion? You are Adonis Creed, fighting toe-to-toe with the world’s top opponents to establish your boxing legacy. This intense cinematic experience features new Phantom Melee Technology for impactful VR melee combat so you can train, fight, and win like Creed. Live Your Legacy Challenge both your body and mind as you experience the ascent of Adonis Creed from undiscovered underdog to world-class fighter, all within an immersive universe inspired by the Creed™ films. Multiple Game Modes Choose your path to glory in multiple games modes: store-driven Career, customizable Freeplay, or minigame-based Training. Online PvP PvP just got a lot more personal. Choose your champion, then set up a custom fight with a friend or find your contenders in crossplay Quick Match. Precise upper-body tracking ensures each blow resonates where it lands—on both your opponent and yourself. Feel the Impact Phantom Melee Technology mimics the real-life effects of throwing and taking punches in the ring, such as the out-of-body sensation of getting knocked out or the fatigue during a long, frantic bout. Break them―or become them Play or fight the most iconic figures from the Creed™ and Rocky™ universe in Freeplay or PvP, including classic Rocky Balboa, Ivan and Viktor Drago, and more!"
WWE 2K23,"Simulation, Sports","WWE 2K23 Bad Bunny Edition Step back in the ring with international icon Bad Bunny with the WWE 2K23 Bad Bunny Edition*. Featuring a new Bad Bunny playable character based on his Backlash ‘23 appearance in Puerto Rico and more, plus all of the bonus content from the WWE 2K23 Icon Edition! *This Edition is not available in Belgium. WWE 2K23 Bad Bunny Bundle Step back in the ring with international icon Bad Bunny with this new WWE 2K23 Bad Bunny Bundle* featuring a new Bad Bunny playable character based on his Backlash ‘23 appearance in Puerto Rico and more! The Bad Bunny Bundle includes: WWE 2K23 Standard Edition Bad Bunny Edition Bonus Pack: Includes Bad Bunny Backlash ’23 playable character, Bad Bunny EVO MyFACTION card, Puerto Rico-themed LWO shirt, Bad Bunny-themed MyFACTION team customizations, 15,000K VC Pack + Bonus 17,500 VC Bad Bunny Bonus Pack: Includes playable Bad Bunny character and a Bad Bunny Ruby tier MyFACTION card *The WWE 2K23 Bad Bunny Bundle is not available in Belgium. WWE 2K23 Icon Edition The WWE 2K23 Icon Edition, with cover art created by WWE artist-in-residence Rob Schamberger, gives you all of the bonus content from the Deluxe Edition PLUS throwback versions of some of WWE’s biggest Superstars from the Ruthless Aggression era! The Icon Edition* includes: Bad Bunny Bonus Pack Ruthless Aggression Pack: Includes throwback versions of John Cena, Randy Orton, Batista, and Brock Lesnar, along with the WrestleMania 22 arena and the John Cena Legacy Championship Season Pass: Includes all 5 post-launch DLC character packs, the MyRISE Mega-Boost pack, with 200 additional Attribute Points, and the Supercharger pack which unlocks all base-game WWE Legends and throwback arenas. Release timing of the DLC contents will be revealed at a future date. Bonus MyFACTION Content: Includes a John Cena EVO card, Emerald-tier Bianca Belair, and Gold-tier Asuka and Edge cards, plus 3 Basic Day 1 MyFACTION card packs Icon Edition Bonus Pack: Includes a Paul Heyman Emerald tier Manager MyFACTION Card and 3 Deluxe Premium Launch MyFACTION Packs. 3-Day Early Access *Icon Edition not available in Belgium. WWE 2K23 Deluxe Edition The value of WWE 2K23 is Even Stronger with the Deluxe Edition*! The Deluxe Edition also includes: Bad Bunny Bonus Pack Season Pass Bonus MyFACTION Content 3-Day Early Access *Deluxe Edition not available in Belgium. About the Game This product will no longer be available for purchase as of 11/1/2024. NOTE: All multiplayer servers for WWE 2K23 will be shutdown as of 1/6/2025. After that time, all game functions requiring online servers will no longer function. Expanded features, gorgeous graphics, and the ultimate WWE experience. Hit the ring with a deep roster of WWE Superstars and Legends including Roman Reigns, ""American Nightmare"" Cody Rhodes, Ronda Rousey, Brock Lesnar, ""Stone Cold"" Steve Austin and more! 2K SHOWCASE: INTERACTIVE SPORTS DOCUMENTARY Play through the key moments and toughest opponents of John Cena’s storied 20-year WWE career. And in a franchise-first, take on the role of each marquee opponent - some of WWE’s greatest of all time - as you aim to take down Mr. Hustle, Loyalty, and Respect. IT’S WARGAMES This fan-favorite action-packed WarGames makes its debut in WWE 2K23 and delivers heart-pounding 3v3 and 4v4 multiplayer mayhem inside two side-by-side rings, surrounded by a double-steel cage! YOUR SHOW, YOUR CHOICES With MyGM, take the reins of a weekly show and compete against rival general managers for brand supremacy. Now featuring more GMs to choose from, additional show options, multiple seasons, expanded match cards, and more match types for up to 4 players. YOU HOLD ALL THE CARDS Collect and upgrade cards of WWE Superstars and Legends to build the ultimate faction and compete for global dominance in MyFACTION, now featuring online multiplayer! DEFINE YOUR FUTURE IN MyRISE Walk through the curtains for your WWE debut and shape your career as a WWE Superstar with the decisions you make along the way through distinct storylines - The Lock and The Legacy. THE UNIVERSE IS ALL YOURS WWE Universe Mode is the ultimate sandbox that puts you in charge of WWE, from Superstar rosters, feuds, champions, weekly shows, and more! *Local support for up to 4 players / Online support for up to 8 players"
STRIDE,"Action, Adventure, Massively Multiplayer, Simulation, Sports","More from Joy Way Discord About the Game STRIDE is a high-octane parkour adventure in virtual reality. Fight for your life as you hurtle through the canopy of a futuristic metropolis. Step into the shoes of a master freerunner as you vault, swing, roll, and shoot your way through this intense, action-packed adventure. Will you survive the ultimate freerun? HORDE MODE Avoid being touched by zombie players, or infect as many survivors as possible. KING OF THE HILL Grab a crown and wear it longer than other players to win. The crown goes to the player who tagged you. DEATHMATCH The classic ""all against all"", up to 10 players in a match. The player's objective is to do more kills than their opponent(s) for that game. TEAM DEATHMATCH All players are split into 2 teams, up to 5x5 players. Cover your teammates and hold key locations on the map with useful pick-ups to seize the advantage. CAPTURE THE FLAG Steal the enemy’s flag and deliver it to your base as quickly as possible. Try to follow the most optimal path and avoid confrontation. Endless Mode Infinite level generation provides unlimited challenging terrain. Build your score by landing jumps over impossibly wide gaps, nailing insane wall-runs, sliding under barriers, and swinging between buildings. There’s no turning back or time to stop - as the world quickly falls apart behind you. Oh, and did we mention the rooftops are crawling with snipers? Pull out your 9mm mid-air and pick them off as you glide across the gap between buildings. Time Run Mode Compete for the top spot on the leaderboard. In Time Run mode, it’s all about speed. As the terrain unveils itself ahead of you, you’ll need to visualize your route on the fly, and execute each move with precision. Arena Mode In Arena mode, you’re presented with a spacious section of the city’s rooftops, without the pressure of a creeping barrier coming up behind you. You have complete freedom of movement within this complex high-rise “arena” but you’ll be challenged with a variety of tasks. Examples include finding and collecting certain items , completing a specified route within a time limit, stealing an item without getting spotted by the snipers, or - simply - killing all the enemies! Arena mode feels even more like a real city, so enjoy the views… but try not to die."
ACE - Arena: Cyber Evolution,"Action, Free To Play, Indie, Sports, Strategy, Early Access","At Spearhead Games, we believe that e-sports are the next step in international competition. We believe that this growing trend is on the verge of becoming mainstream globally and will play a significant role in defining the future of sports. Arena: Cyber Evolution is the result of our passion for this phenomenon and what it can become. We know that creating a game that is significant and meaningful on the e-sport scene is no small task and this is why that we have involved the player community since the very beginning of the development, when there were no menus, options, or even textures! Arena: Cyber Evolution (ACE) is a futuristic physics-based sports game in which players confront each other in 3 vs 3 matches of wits and twitch reflexes. By featuring a MOBA-like champion logic, ACE brings an unprecedented twist to the sports genre by allowing players to choose from a variety of super-powered heroes and what style of gameplay they prefer to build their own team strategies. Designed from the ground up around the mouse & keyboard, ACE was not envisioned only as a sport game, but really as a new sport. ACE’s ultra-precise control scheme allows players to analogically manipulate the disk using simple mouse gestures. Just like in real sports, this gameplay allows for super intuitive gameplay while proposing nearly infinite depth & skill cap. An unique blend of action games, sports games and MOBA. The closest experience to playing a traditional sport in a video game. Dynamic physics-based gameplay that is both deep and accessible. Innovative mouse gesture control allows for fluid and natural actions (passes, shots, intercepts and jukes). Having all human players makes positioning meaningful and allow for infinite team strategies. Several characters each with unique powers and play styles Unlock implants (to improve and customize your characters), team boosts, upgrades, and special abilities. Very fun to watch as a spectator - even without prior knowledge of the game. New characters, implants, custom arenas, events, challenges, and much more coming soon! New updates regularly! Arena: Cyber Evolution is free to play and we want it to stay this way forever. We believe that it should be at the core of any sport to be accessible for everyone to play and practice no matter what. As an independent game studio, we however need some money to keep developing the game and improving it. This is why we integrated monetization features in the game with the possibility to buy skins, hats and other customizations with real money (but never pay to win mechanics!). For us, this is a simple way to allow players who really enjoy and believe in the game to support its continued development by ‘’donating’’ and receiving rewards for it. In addition to the items available in-game, the following great packages are available as DLC: Supporters Pack DLC Founders Pack DLC Champions Pack DLC Pillar Pack DLC More For more opportunities to support us, please visite our web page!"
TopSpin 2K25,Sports,"TopSpin 2K25 Grand Slam® Edition Compete on the world’s biggest stages with the TopSpin 2K25 Grand Slam® Edition! Get the Grand Slam® Champions Pack, plus the Under the Lights Pack, New Wave Pack, Rookie Rise Pack, and the All Access Pass. The Grand Slam® Edition includes: Grand Slam® Champions Pack, featuring a cosmetic Championship Racket and a Champion Serve. Under the Lights Pack featuring Serena Williams and Roger Federer Alternate Outfits, Wilson Nightfall Bundle, and Night-Time Majors. New Wave Pack containing Carlos Alcaraz, Iga Swiatek, and Frances Tiafoe Alternate Outfits, New Wave Glasses, New Wave Top, New Wave Bottoms, New Wave Shoes, and New Wave Wrist Bands. Rookie Rise Pack containing one MyPLAYER Boost to Level 10 and 1,700 VC. All Access Pass, including six Centre Court Season Passes, plus French Open, Wimbledon, US Open, and Australian Open T-Shirts. TopSpin 2K25 Deluxe Edition Rally on with TopSpin 2K25 Deluxe Edition! The Deluxe Edition includes: Under the Lights Pack featuring Serena Williams and Roger Federer Alternate Outfits, Wilson Nightfall Bundle, and Night-Time Majors. New Wave Pack containing Carlos Alcaraz, Iga Swiatek, and Frances Tiafoe Alternate Outfits, New Wave Glasses, New Wave Top, New Wave Bottoms, New Wave Shoes, and New Wave Wrist Bands. Rookie Rise Pack containing one MyPLAYER Boost to Level 10 and 1,700 VC. About the Game AUTHENTIC GAMEPLAY Advanced gameplay mechanics, realistic physics, and immersive visuals are at the heart of TopSpin 2K25. Several playable pros in TopSpin 2K25 have a custom forehand, backhand, and serve animation that’s been fine-tuned to replicate their real-life form. On clay, sliding across will kick up dust and leave scuff marks along the ground you’ve covered while on grass the court wear becomes more noticeable as you progress through a tournament. Deliver pinpoint precision on the court with the all-new Timing Meter, and hit the perfect serve with the new Serve Mechanic. LOCAL MULTIPLAYER Gather your friends and family to compete in intense, head-to-head matches on the same screen. Offline Exhibition supports up to two players in singles and up to four players in doubles, offering endless fun and rivalry. EXPERIMENT WITH PLAYSTYLES Do you gravitate toward a strong defensive strategy or will you lean more on dominating serves? TopSpin 2K25 features four different playstyles, each with their own upsides and unique Skills. Choose from All-Round, Offensive Baseline, Defensive Baseline, and Serve & Volley playstyles. Lean in to the playstyle of your favorite Pro or experiment and create hybrid MyPLAYERs based on these core playstyles. WIN THE CAREER GRAND SLAM® Travel the world as an up-and-coming pro, go toe-to-toe with the biggest names in tennis, and take Centre Court at Wimbledon, Roland-Garros, the US Open, and the Australian Open as you strive to become a Grand Slam® Champion online in MyCAREER. DOMINATE THE COURT ONLINE Test your MyPLAYER's mettle and showcase your tennis prowess on the World Tour or step into the 2K Tour as a playable pro challenging players around the world with cross-play support. Alternatively, have a friendly and invite your 2K friends and platform friends to online private singles matches in Online Exhibition! PERSONALIZE YOUR MyPLAYER Create a MyPLAYER tailored to your play style and define your look on the court! With a wide range of customization options, you can fine-tune your attributes and earn new Coaches, Fittings, and gear from adidas, HEAD, Lacoste, New Balance, Nike, Wilson, and more."
